ts,loss,acc,val_loss,val_acc
1571330284,0.130220964551,0.77,0.157395079732,0.77
1571330284,0.127535119653,0.86,0.170930415392,0.76
1571330285,0.140940740705,0.78,0.149258166552,0.78
1571330285,0.152179554105,0.8,0.162786319852,0.76
1571330285,0.125589698553,0.81,0.171073198318,0.74
1571330285,0.135444760323,0.81,0.129704385996,0.81
1571330285,0.108491063118,0.86,0.170103862882,0.73
1571330285,0.166079580784,0.75,0.130801230669,0.82
1571330285,0.154724568129,0.74,0.140020892024,0.8
1571330286,0.114882044494,0.87,0.166463464499,0.76
1571330286,0.210652172565,0.71,0.17809663713,0.76
1571330286,0.131483107805,0.82,0.154362738132,0.76
1571330286,0.151349455118,0.82,0.165333122015,0.77
1571330286,0.117986962199,0.84,0.178398564458,0.76
1571330286,0.170861110091,0.78,0.166510254145,0.73
1571330287,0.169577211142,0.73,0.189549833536,0.7
1571330287,0.170316621661,0.74,0.150474742055,0.77
1571330287,0.120465174317,0.82,0.172569274902,0.73
1571330287,0.135631978512,0.83,0.176925390959,0.73
1571330287,0.173662558198,0.74,0.168924152851,0.75
1571330287,0.132001906633,0.82,0.180187270045,0.73
1571330288,0.164654150605,0.76,0.157420411706,0.77
1571330288,0.0970955267549,0.88,0.172702759504,0.73
1571330288,0.146927595139,0.82,0.170759707689,0.73
1571330288,0.167251467705,0.73,0.156806543469,0.76
1571330288,0.136023029685,0.81,0.19863307476,0.69
1571330289,0.132371097803,0.8,0.171997904778,0.75
1571330289,0.137334987521,0.85,0.213416442275,0.69
1571330289,0.185949444771,0.7,0.132564902306,0.78
1571330289,0.131603389978,0.81,0.123380236328,0.82
1571330289,0.125553876162,0.85,0.142604768276,0.76
1571330289,0.170951157808,0.73,0.190416693687,0.74
1571330290,0.129332065582,0.83,0.192866131663,0.72
1571330290,0.182199373841,0.74,0.110524617136,0.87
1571330290,0.129942968488,0.78,0.164157316089,0.79
1571330290,0.141106292605,0.79,0.167008474469,0.75
1571330290,0.155085116625,0.78,0.15304505825,0.82
1571330290,0.156883776188,0.77,0.15178065002,0.74
